# target_id	pdb_id	chain
T-C184	1ZH2	A
T-C185	4NET	A
T-C186	8FQM	A
T-C187	8FQS	B
T-C188	1PW4	A
T-C189	5IQK	A
T-C190	6V9K	A
T-C191	7UUJ	A
T-C192	2F1M	A
T-C193	3ECH	C
T-C195	3MQ2	A
T-C196	1D5Y	A
T-C197	5K0W	A
T-C198	3TYS	A
T-C199	2FFY	A
T-C200	7MQN	A
T-C201	6HZO	A
T-C203	4QD4	A
T-C204	7WI1	A
T-C205	5TUI	A
T-C206	5TUK	A
T-C207	5TUL	A
T-C208	5TUM	A
T-C209	8FQV	A
T-C210	6BFF	A
T-C211	4NAZ	A
T-C212	4H05	A
T-C213	7L7B	D
T-C214	7EPV	A
T-C215	6V3Q	A
T-C216	6HZJ	A
T-C218	7KUG	A
T-C219	7KUG	A
T-C220	5IV8	A
T-C221	8JU7	A
T-C222	1VPZ	A
T-C224	5F6Q	A
T-C225	1M2X	A
T-C226	5A92	A
T-C227	6HB8	A
T-C228	6SKQ	A
T-C229	8TJM	A
T-C230	8FQP	A
T-C231	8FQN	A
T-C232	6I30	A
T-C233	6T5K	C
T-C234	8Z7M	A
T-C235	4EUZ	A
T-C236	6CQS	A
T-C237	7F0A	A
T-C238	5NJ2	A
T-C239	6SXJ	A
T-C241	5MMH	A
T-C243	5KYG	A
T-C244	7LUU	A
T-C245	1ONH	A
T-C246	6LC7	A
